battery,category,cpu_name,cpu_type,disk,graphic,id,keyboard_light,name,ram,resolution,ssd,weight
,hoc-tap-van-phong,Intel Core i5,8265U,1TB,Intel HD Graphics 620,,,LAPTOP ACER ASPIRE A514-51-525E (NX.H6VSV.002),,,0,1.9 kg
,hoc-tap-van-phong,AMD Ryzen™ 7,3700U,512GB,AMD Radeon™ Vega 10 Graphics,,,Laptop Asus A512DA-EJ418T,,,1,1.7 kg
,hoc-tap-van-phong,Intel Core i5,8265U,,Intel UHD Graphics 620,,,LAPTOP ACER ASPIRE A515-53-50ZD (NX.H6DSV.001),,,0,2.072 kg
,hoc-tap-van-phong,Intel Core i3,7020U,500 GB,Intel HD Graphics 620,,,LAPTOP HP 15-DA0051TU (4ME64PA),,,0,1.77 kg
,hoc-tap-van-phong,Intel Core i7,8550U,,NVIDIA GeForce MX130,,,LAPTOP ACER ASPIRE E5-576G-88EP,,,0,2.23 kg
,hoc-tap-van-phong,Intel Core i5,8265U,1TB,Intel UHD Graphics 620,,,LAPTOP ASUS X509FA-EJ101T,,,0,1.8 kg
,hoc-tap-van-phong,Core i5,8265U,1TB,Intel UHD Graphics 620,,,Laptop Asus X509FA-EJ201T,,,0,1.9 kg
,hoc-tap-van-phong,Intel Core i5,8265U,256 GB,Intel UHD Graphics 620,,,LAPTOP DELL INSPIRON N5480B (P92G001),,,1,1.48 kg
,hoc-tap-van-phong,AMD Ryzen™ 5,3500U,256 GB,Vega 8,,,LAPTOP HP ENVY X360 (6ZF30PA),,,1,1.3 kg
,hoc-tap-van-phong,Intel Core i5,8250U,500 GB,AMD Radeon R7 M530 2GB,,,LAPTOP LENOVO IDEAPAD 330-15IKB (81DE01JSVN),,,0,1.95 kg
,hoc-tap-van-phong,Intel Core i3,10110U,1 TB,Intel UHD Graphics,,,Laptop Dell Vostro 3590 V5I3505W,,,0,
,hoc-tap-van-phong,Core i5,8265U,1 TB,NVIDIA GeForce MX230 2GB GDDR5,,,Laptop Asus X509F-EJ153T,,,0,1.8 kg
,hoc-tap-van-phong,Intel Core i5,8265U,1TB,Intel HD Graphics 620,,,Laptop HP Pavilion 15 CS2033TU 6YZ14PA Xám,,,0,1.85 kg
,hoc-tap-van-phong,Intel Core i5,8265U,1TB,Intel HD Graphics 620,,,Laptop HP Pavilion 15 CS2034TU 6YZ06PA Vàng,,,0,1.85 kg
,hoc-tap-van-phong,Intel Core i5,8265U,,Intel UHD Graphics 620,,,Laptop HP ProBook 430 G6 (5YN22PA),,,1,1.49 kg
,hoc-tap-van-phong,Intel Core i5,8265U,1TB,MX130,,,Laptop HP Pavilion 15 CS2057TX (6YZ20PA) Xám,,,0,1.85 kg
,hoc-tap-van-phong,Intel Core i5,8265U,1TB,Intel UHD Graphics 620,,,Laptop HP Pavilion X36014-DH0104TU,,,0,1.607 kg
,hoc-tap-van-phong,Core i5,1035G1,HDD 1TB + SSD 128GB PCie,NVIDIA GeForce MX230 2GB,,,Laptop Dell Inspiron 15 5000 5593 N5I5402W,,,1,
,hoc-tap-van-phong,AMD Ryzen™ 3,3200U,256 GB,AMD Radeon™ Vega 3 Graphics,,,Laptop Acer Aspire A315-42-R8PX,,,1,
,hoc-tap-van-phong,Intel Core i7,8265U,512 GB,NVIDIA GeForce MX230,,,Laptop Asus X409FJ-EK137T,,,1,1.6 kg
,hoc-tap-van-phong,Intel Core i5,8265U,1TB,NVIDIA GeForce MX110,,,LAPTOP HP 15-DA1031TX (5NK55PA),,,0,1.77 kg
,hoc-tap-van-phong,Intel Core i5,10210U,256 GB PCie,Intel UHD Graphics 620,,,Laptop Dell Vostro 5490 V4I5106W,,,1,1.49 kg
,hoc-tap-van-phong,Core i5,8250U,256 GB,AMD Radeon 530,,,Laptop Dell Vostro 5370 (V5370B),,,1,
,hoc-tap-van-phong,Intel Core i5,8265U,256 GB,Intel UHD Graphics 620,,,LAPTOP HP PROBOOK 430 G6 (5YN00PA),,,1,1.4 kg
,hoc-tap-van-phong,Core i5,10210U,256 GB,Intel UHD Graphics 620,,,Laptop Acer Aspire A315-54-52HT,,,1,
,hoc-tap-van-phong,i3,8145U,512GB,,,,Laptop Asus A512FA EJ1170T,,,1,1.8 kg
,hoc-tap-van-phong,Intel Core i3,8145U,512 GB,Intel UHD Graphics 620,,,Laptop Asus A512FA-EJ837T,,,1,1.7 kg
,hoc-tap-van-phong,Intel Core i5,10210U,256 GB,Intel UHD Graphics 620,,,Laptop Acer A514-52-516K (NX.HMHSV.002),,,1,1.6 kg
,hoc-tap-van-phong,Core i5,10210U,512 PCie,Intel UHD Graphics,,,Laptop Acer Aspire A315-54-59ZJ,,,1,
,hoc-tap-van-phong,Core i5,8265U,512 GB,Intel UHD Graphics 620,,,Laptop Asus S431FA-EB511T,,,1,1.4 kg
,hoc-tap-van-phong,Core i5,10210U,512 GB,Intel UHD Graphics,,,Laptop Dell Inspiron 13 7000 2-in-1,,,1,1.4 kg
,hoc-tap-van-phong,Intel Core i5,8250U,1TB,UHD Intel® 620,,,LAPTOP LENOVO IDEAPAD 330-14IKBR 81G2007BVN,,,0,2.1 kg
,hoc-tap-van-phong,Intel Core i5,8265U,1TB,Intel HD Graphics 620,,,LAPTOP DELL INSPIRON 3480 (N4I5107W) BẠC,,,0,1.66 kg
,hoc-tap-van-phong,Intel Core i7,8565U,256 GB,Intel UHD Graphics 620,,,LAPTOP HP ENVY 13-AQ0027TU (6ZF43PA),,,1,1.18 kg
,hoc-tap-van-phong,Intel Core i5,8265U,1TB,NVIDIA GeForce MX 130,,,LAPTOP HP PAVILION 15-CS2056TX,,,0,
,hoc-tap-van-phong,Intel Core i3,8145U,1TB,Intel UHD Graphics 620,,,LAPTOP HP PAVILION X36014-DH0103TU,,,0,1.65 kg
,hoc-tap-van-phong,Intel Core i5,8265U,1TB,Intel UHD Graphics 620,,,LAPTOP HP PAVILION 14-CE2039TU,,,0,1.6 kg
,hoc-tap-van-phong,Intel Core i5,8265U,1TB,Intel UHD Graphics 620,,,LAPTOP HP PAVILION 14-CE2038TU,,,0,1.6 kg
,hoc-tap-van-phong,Intel Core i5,8265U,1TB,Intel UHD Graphics 620,,,LAPTOP HP PAVILION 14-CE2041TU,,,0,1.6 kg
,hoc-tap-van-phong,Intel Core i5,8265U,,Intel HD Graphics 620,,,Laptop Dell Vostro 3480-70187708,,,0,1.9 kg
