Unnamed: 0,id,title,brand,price,weight,cpu,ssd,ram,battery
303,3665397,Laptop Acer Spin 5 SP513-52N-556V NX.GR7SV.004 Core i5-8250U/Win10 (13.3 inch) (Grey) - Hàng Chính Hãng,Acer,19999000,1.54,Intel Core i5,True,8GB,3 Cell
304,11421291,Laptop Asus Zenbook 13 UX333FN-A4125T Core i5-8265U/ Win10/ Numpad (13.3 FHD) - Hàng Chính Hãng,Asus,22209000,1.09,"Intel Core i5-8265U (1.60GHz Up to 3.90 GHz, 4Cores, 8Threads, 6MB Cache, FSB 4GT/s)",,8GB LPDDR3-2133Mhz (Onboard),3-Cell 50WHr
305,45082359,Laptop Dell Inspiron 5391 70197461 (Core i7-10510U/ 8GB LPDDR3 2133MHz/ 512GB PCIe NVMe/ MX250 2GB/ 13.3 FHD/ Win10) - Hàng Chính Hiệu,Dell,23709000,1.24,Intel Core i7-10510U 1.8GHz up to 4.9GHz 8MB,,8GB LPDDR3 2133MHz,3 Cell 45WHr
306,890015,Laptop Lenovo ThinkPad X270 20HM000JVA Core i7-7600U/DOS 12.5 inch - Hàng Chính Hãng,Lenovo,20130000,,,True,4GB,6Cells 62Whrs
307,26735902,"Laptop HP Envy X360 13-AR0071AU (6ZF30PA) . AMD, RYZENR5-3500U (13.3inch) - Hàng Chính Hãng ",HP,22390000,,,,,
308,10442369,"Laptop Millet (MI) Xám (15.6-inch, Intel Core I7-8750H 16G 1T+256G GTX1060 6G)",Xiaomi,34325000,,Intel Core I7-8750H,,16G,
309,4138481,Laptop Gaming MSI GF63 8RD-221VN Core i7-8750H/Win10 (15.6 inch) (Black) - Hàng Chính Hãng,MSI,23509000,1.86,Intel Core i7,True,8GB,3-Cell 51 Whr
310,8286081,Microsoft Surface Pro 2018 - Core i5-8250U/8G/256GB - Hàng Chính Hãng,Microsoft,23000000,775,Intel Core 8th Gen i5,True,8GB,Lithium-Polymer
311,32257195,Apple Macbook Air 2019 - 13 Inchs (i5/ 8GB/ 256GB) - Hàng Chính Hãng,Apple,32099000,1.25,1.6GHz dual-core Intel Core i5,,8GB,50.3Wh LiPo Battery
312,23375584,Lenovo Ideapad Gaming L340 15IRH (81LK007HVN) | Core i5 _9300H _8GB _1TB _GTX1050 with 3GB GDDR5 _Full HD IPS / Hàng Chính Hãng,Lenovo,15950000,,,,,
